Persona Name,Age,Income Source,Annual Income Range,Family Size,Relationship Status,Key Financial Goals,Lifestyle Factors
Arjun,62,Business Owner,$30k-$50k,1,Married w/ Kids,Wealth Creation,"Pet owner, active lifestyle"
Arjun,61,Business Owner,$50k-$75k,2,Single,Tax Saving,"Sedentary lifestyle, chronic illness"
Sneha,56,Business Owner,$100k+,4,Married w/ Kids,Health Coverage,"Health-conscious, gym member"
Sunita,46,Business Owner,$30k-$50k,1,Widowed,Health Coverage,"Health-conscious, gym member"
Mrs. Iyer,28,Salaried,$50k-$75k,4,Widowed,Tax Saving,Lives in joint family
Sneha,35,Retired,$30k-$50k,1,Widowed,Tax Saving,Prefers homeopathic treatment
Ankit,24,Self-Employed,$100k+,5,Married w/ Kids,Health Coverage,"Owns a car, travels frequently"
Mr. Dutta,23,Salaried,$75k-$100k,5,Married w/ Kids,Wealth Creation,Lives in joint family
Sneha,48,Business Owner,$75k-$100k,1,Married w/ Kids,Child Education Fund,"Pet owner, active lifestyle"
Riya,52,Salaried,$100k+,3,Divorced,Child Education Fund,"Smoker, high stress job"
Mrs. Iyer,49,Business Owner,$100k+,5,Divorced,Child Education Fund,Prefers homeopathic treatment
Rahul,24,Salaried,$15k-$30k,3,Single,Wealth Creation,Works night shifts
Mr. Dutta,62,Retired,$50k-$75k,5,Divorced,Health Coverage,"Owns a car, travels frequently"
Priya,34,Retired,$15k-$30k,1,Married w/ Spouse,Tax Saving,Lives in joint family
Sneha,58,Salaried,$100k+,3,Single,Child Education Fund,"Pet owner, active lifestyle"
Rahul,50,Self-Employed,$15k-$30k,4,Divorced,Child Education Fund,"Smoker, high stress job"
Mrs. Iyer,49,Retired,$100k+,1,Divorced,Child Education Fund,"Pet owner, active lifestyle"
Sunita,32,Salaried,$50k-$75k,4,Married w/ Kids,Tax Saving,"Frequent flyer, international travel"
Amit,48,Retired,$15k-$30k,1,Married w/ Spouse,Child Education Fund,"Health-conscious, gym member"
Amit,52,Business Owner,$15k-$30k,3,Divorced,Tax Saving,"Frequent flyer, international travel"
Riya,44,Self-Employed,$100k+,5,Divorced,Health Coverage,"Frequent flyer, international travel"
Sneha,48,Retired,$30k-$50k,4,Widowed,Wealth Creation,"Owns a car, travels frequently"
Priya,37,Salaried,$50k-$75k,2,Widowed,Retirement Savings,"Pet owner, active lifestyle"
Arjun,52,Self-Employed,$50k-$75k,4,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mr. Dutta,57,Retired,$50k-$75k,1,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Rahul,25,Self-Employed,$100k+,1,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Ankit,39,Business Owner,$30k-$50k,2,Widowed,Child Education Fund,Lives in joint family
Ankit,30,Business Owner,$75k-$100k,4,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Ankit,30,Self-Employed,$100k+,4,Widowed,Tax Saving,"Health-conscious, gym member"
Mrs. Iyer,32,Business Owner,$30k-$50k,1,Married w/ Spouse,Child Education Fund,"Sedentary lifestyle, chronic illness"
Ankit,64,Retired,$75k-$100k,5,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Sunita,50,Self-Employed,$50k-$75k,5,Married w/ Kids,Child Education Fund,"Frequent flyer, international travel"
Riya,45,Business Owner,$100k+,4,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
Rahul,22,Business Owner,$30k-$50k,5,Married w/ Kids,Health Coverage,Prefers homeopathic treatment
Amit,46,Self-Employed,$100k+,4,Married w/ Kids,Health Coverage,Prefers homeopathic treatment
Riya,32,Self-Employed,$30k-$50k,1,Married w/ Spouse,Retirement Savings,Works night shifts
Arjun,31,Business Owner,$100k+,3,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Amit,60,Business Owner,$30k-$50k,4,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Rahul,38,Self-Employed,$30k-$50k,2,Divorced,Wealth Creation,Works night shifts
Mr. Dutta,50,Salaried,$75k-$100k,2,Widowed,Retirement Savings,"Health-conscious, gym member"
Priya,58,Business Owner,$50k-$75k,2,Single,Child Education Fund,Lives in joint family
Priya,63,Salaried,$30k-$50k,2,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Arjun,48,Self-Employed,$50k-$75k,5,Single,Tax Saving,"Pet owner, active lifestyle"
Sneha,52,Salaried,$75k-$100k,5,Married w/ Spouse,Retirement Savings,"Pet owner, active lifestyle"
Arjun,48,Retired,$30k-$50k,2,Widowed,Wealth Creation,"Pet owner, active lifestyle"
Sneha,32,Business Owner,$75k-$100k,3,Single,Health Coverage,"Owns a car, travels frequently"
Arjun,39,Retired,$50k-$75k,1,Single,Retirement Savings,Prefers homeopathic treatment
Amit,52,Self-Employed,$75k-$100k,5,Single,Tax Saving,Lives in joint family
Mrs. Iyer,52,Business Owner,$30k-$50k,4,Widowed,Retirement Savings,"Smoker, high stress job"
Riya,52,Salaried,$30k-$50k,4,Married w/ Kids,Health Coverage,Prefers homeopathic treatment
Sneha,57,Business Owner,$15k-$30k,5,Divorced,Tax Saving,Works night shifts
Ankit,22,Business Owner,$75k-$100k,1,Divorced,Child Education Fund,Lives in joint family
Rahul,54,Salaried,$75k-$100k,5,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Rahul,25,Salaried,$30k-$50k,5,Widowed,Wealth Creation,Works night shifts
Sunita,55,Business Owner,$15k-$30k,4,Widowed,Wealth Creation,"Health-conscious, gym member"
Riya,47,Salaried,$50k-$75k,1,Divorced,Tax Saving,"Frequent flyer, international travel"
Priya,50,Retired,$15k-$30k,1,Divorced,Retirement Savings,"Health-conscious, gym member"
Sneha,40,Retired,$75k-$100k,3,Married w/ Kids,Tax Saving,"Frequent flyer, international travel"
Amit,49,Retired,$100k+,2,Married w/ Kids,Child Education Fund,"Owns property, no liabilities"
Ankit,23,Salaried,$50k-$75k,2,Single,Tax Saving,"Pet owner, active lifestyle"
Rahul,29,Salaried,$15k-$30k,5,Divorced,Retirement Savings,Prefers homeopathic treatment
Sunita,33,Retired,$30k-$50k,1,Widowed,Child Education Fund,"Owns a car, travels frequently"
Sneha,40,Self-Employed,$50k-$75k,5,Divorced,Child Education Fund,Works night shifts
Sunita,43,Self-Employed,$15k-$30k,3,Married w/ Spouse,Retirement Savings,"Owns a car, travels frequently"
Mr. Dutta,57,Retired,$50k-$75k,1,Divorced,Health Coverage,Prefers homeopathic treatment
Arjun,49,Retired,$30k-$50k,4,Married w/ Spouse,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mr. Dutta,51,Business Owner,$100k+,2,Single,Wealth Creation,"Frequent flyer, international travel"
Sneha,39,Self-Employed,$15k-$30k,4,Divorced,Retirement Savings,"Owns property, no liabilities"
Mr. Dutta,46,Business Owner,$30k-$50k,4,Single,Tax Saving,"Frequent flyer, international travel"
Rahul,35,Business Owner,$30k-$50k,3,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Arjun,63,Self-Employed,$100k+,5,Married w/ Spouse,Retirement Savings,Prefers homeopathic treatment
Priya,26,Business Owner,$50k-$75k,2,Single,Retirement Savings,Lives in joint family
Sunita,34,Salaried,$75k-$100k,5,Married w/ Spouse,Child Education Fund,"Pet owner, active lifestyle"
Sunita,50,Business Owner,$30k-$50k,2,Married w/ Kids,Retirement Savings,Lives in joint family
Priya,38,Business Owner,$30k-$50k,5,Widowed,Child Education Fund,"Frequent flyer, international travel"
Arjun,52,Retired,$30k-$50k,2,Single,Wealth Creation,Lives in joint family
Mrs. Iyer,39,Salaried,$30k-$50k,2,Married w/ Kids,Child Education Fund,Prefers homeopathic treatment
Ankit,35,Retired,$100k+,2,Divorced,Child Education Fund,Prefers homeopathic treatment
Sunita,35,Self-Employed,$50k-$75k,2,Divorced,Wealth Creation,"Owns property, no liabilities"
Sunita,54,Business Owner,$15k-$30k,2,Divorced,Tax Saving,"Frequent flyer, international travel"
Arjun,53,Salaried,$50k-$75k,5,Married w/ Spouse,Tax Saving,"Frequent flyer, international travel"
Mr. Dutta,64,Salaried,$15k-$30k,3,Married w/ Kids,Tax Saving,"Sedentary lifestyle, chronic illness"
Arjun,28,Retired,$50k-$75k,5,Divorced,Wealth Creation,"Owns a car, travels frequently"
Sunita,48,Business Owner,$50k-$75k,3,Married w/ Kids,Retirement Savings,"Owns property, no liabilities"
Arjun,29,Self-Employed,$75k-$100k,3,Widowed,Tax Saving,"Owns property, no liabilities"
Priya,23,Self-Employed,$50k-$75k,2,Widowed,Wealth Creation,"Owns property, no liabilities"
Riya,48,Self-Employed,$75k-$100k,1,Widowed,Retirement Savings,"Owns a car, travels frequently"
Mrs. Iyer,53,Self-Employed,$100k+,5,Married w/ Kids,Health Coverage,"Smoker, high stress job"
Arjun,44,Retired,$75k-$100k,5,Widowed,Retirement Savings,Lives in joint family
Sunita,49,Self-Employed,$15k-$30k,2,Widowed,Wealth Creation,Works night shifts
Mr. Dutta,27,Business Owner,$30k-$50k,3,Divorced,Health Coverage,"Frequent flyer, international travel"
Ankit,35,Retired,$30k-$50k,3,Married w/ Kids,Retirement Savings,Prefers homeopathic treatment
Arjun,56,Self-Employed,$100k+,4,Widowed,Health Coverage,Lives in joint family
Sneha,44,Salaried,$30k-$50k,1,Married w/ Kids,Tax Saving,"Pet owner, active lifestyle"
Mrs. Iyer,62,Retired,$15k-$30k,3,Married w/ Spouse,Health Coverage,"Frequent flyer, international travel"
Riya,60,Self-Employed,$50k-$75k,1,Widowed,Health Coverage,Prefers homeopathic treatment
Rahul,39,Salaried,$75k-$100k,1,Single,Tax Saving,"Smoker, high stress job"
Amit,33,Retired,$30k-$50k,1,Divorced,Wealth Creation,"Health-conscious, gym member"
Amit,58,Retired,$30k-$50k,1,Married w/ Spouse,Tax Saving,"Frequent flyer, international travel"
Priya,26,Salaried,$100k+,1,Married w/ Kids,Health Coverage,"Sedentary lifestyle, chronic illness"
Amit,49,Self-Employed,$50k-$75k,5,Divorced,Retirement Savings,"Owns property, no liabilities"
Mrs. Iyer,53,Retired,$50k-$75k,4,Widowed,Child Education Fund,"Pet owner, active lifestyle"
Ankit,55,Salaried,$15k-$30k,1,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Sunita,44,Salaried,$50k-$75k,3,Single,Child Education Fund,"Health-conscious, gym member"
Sunita,60,Business Owner,$50k-$75k,5,Married w/ Kids,Wealth Creation,"Owns property, no liabilities"
Sneha,64,Self-Employed,$50k-$75k,3,Single,Retirement Savings,"Pet owner, active lifestyle"
Sneha,51,Self-Employed,$100k+,2,Single,Health Coverage,"Owns property, no liabilities"
Sunita,38,Business Owner,$75k-$100k,4,Single,Health Coverage,Works night shifts
Riya,46,Salaried,$50k-$75k,5,Married w/ Spouse,Health Coverage,"Pet owner, active lifestyle"
Mrs. Iyer,33,Self-Employed,$30k-$50k,5,Married w/ Kids,Retirement Savings,"Health-conscious, gym member"
Amit,39,Salaried,$50k-$75k,3,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Riya,48,Self-Employed,$100k+,5,Married w/ Spouse,Child Education Fund,Prefers homeopathic treatment
Amit,37,Self-Employed,$100k+,4,Widowed,Retirement Savings,"Pet owner, active lifestyle"
Priya,26,Business Owner,$75k-$100k,3,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Mrs. Iyer,30,Self-Employed,$100k+,4,Divorced,Retirement Savings,Works night shifts
Priya,38,Self-Employed,$100k+,1,Divorced,Retirement Savings,"Owns a car, travels frequently"
Ankit,42,Salaried,$75k-$100k,4,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Sneha,62,Business Owner,$50k-$75k,1,Married w/ Kids,Child Education Fund,"Owns a car, travels frequently"
Amit,46,Self-Employed,$75k-$100k,1,Married w/ Kids,Tax Saving,Prefers homeopathic treatment
Riya,41,Retired,$30k-$50k,1,Widowed,Health Coverage,Lives in joint family
Arjun,31,Salaried,$50k-$75k,2,Married w/ Kids,Health Coverage,"Health-conscious, gym member"
Rahul,34,Self-Employed,$50k-$75k,4,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,60,Salaried,$50k-$75k,3,Single,Child Education Fund,"Owns a car, travels frequently"
Riya,39,Retired,$75k-$100k,4,Married w/ Kids,Health Coverage,Works night shifts
Riya,45,Self-Employed,$100k+,1,Widowed,Health Coverage,Prefers homeopathic treatment
Sneha,53,Salaried,$30k-$50k,5,Married w/ Spouse,Wealth Creation,"Sedentary lifestyle, chronic illness"
Amit,62,Salaried,$30k-$50k,5,Widowed,Child Education Fund,"Owns property, no liabilities"
Rahul,45,Retired,$50k-$75k,2,Married w/ Kids,Health Coverage,"Health-conscious, gym member"
Sunita,25,Salaried,$15k-$30k,1,Married w/ Kids,Wealth Creation,"Pet owner, active lifestyle"
Sneha,23,Retired,$75k-$100k,5,Single,Child Education Fund,"Owns property, no liabilities"
Riya,36,Self-Employed,$50k-$75k,3,Divorced,Retirement Savings,"Health-conscious, gym member"
Rahul,29,Self-Employed,$15k-$30k,5,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Priya,41,Salaried,$30k-$50k,5,Married w/ Spouse,Retirement Savings,Lives in joint family
Rahul,32,Salaried,$100k+,2,Married w/ Spouse,Health Coverage,Lives in joint family
Priya,32,Salaried,$100k+,2,Married w/ Spouse,Child Education Fund,"Smoker, high stress job"
Mr. Dutta,30,Self-Employed,$50k-$75k,3,Single,Tax Saving,"Pet owner, active lifestyle"
Amit,57,Self-Employed,$15k-$30k,4,Widowed,Wealth Creation,"Owns a car, travels frequently"
Sunita,51,Salaried,$15k-$30k,3,Single,Child Education Fund,"Smoker, high stress job"
Sneha,37,Retired,$15k-$30k,5,Married w/ Spouse,Health Coverage,"Owns a car, travels frequently"
Priya,30,Salaried,$30k-$50k,3,Divorced,Retirement Savings,"Smoker, high stress job"
Arjun,52,Business Owner,$75k-$100k,5,Single,Retirement Savings,"Owns a car, travels frequently"
Sunita,32,Business Owner,$15k-$30k,1,Divorced,Tax Saving,Lives in joint family
Priya,26,Self-Employed,$30k-$50k,5,Divorced,Tax Saving,Works night shifts
Priya,57,Self-Employed,$100k+,3,Single,Health Coverage,"Smoker, high stress job"
Amit,59,Self-Employed,$30k-$50k,1,Divorced,Health Coverage,"Frequent flyer, international travel"
Ankit,60,Self-Employed,$30k-$50k,1,Married w/ Spouse,Wealth Creation,"Health-conscious, gym member"
Mr. Dutta,24,Retired,$75k-$100k,5,Widowed,Tax Saving,"Pet owner, active lifestyle"
Mrs. Iyer,61,Self-Employed,$100k+,1,Divorced,Tax Saving,"Owns a car, travels frequently"
Ankit,22,Self-Employed,$30k-$50k,2,Divorced,Tax Saving,Works night shifts
Mr. Dutta,59,Retired,$75k-$100k,4,Widowed,Child Education Fund,"Health-conscious, gym member"
Sneha,54,Self-Employed,$30k-$50k,5,Widowed,Child Education Fund,"Owns a car, travels frequently"
Riya,30,Self-Employed,$50k-$75k,1,Divorced,Child Education Fund,"Sedentary lifestyle, chronic illness"
Sunita,37,Retired,$100k+,2,Married w/ Kids,Health Coverage,"Smoker, high stress job"
Sunita,46,Retired,$100k+,3,Single,Health Coverage,"Pet owner, active lifestyle"
Ankit,44,Retired,$30k-$50k,2,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Priya,45,Self-Employed,$15k-$30k,1,Married w/ Spouse,Child Education Fund,Prefers homeopathic treatment
Sunita,45,Salaried,$100k+,1,Married w/ Kids,Retirement Savings,Lives in joint family
Sneha,32,Retired,$30k-$50k,2,Married w/ Spouse,Health Coverage,"Smoker, high stress job"
Ankit,25,Business Owner,$100k+,5,Single,Health Coverage,"Smoker, high stress job"
Riya,43,Self-Employed,$75k-$100k,2,Married w/ Spouse,Tax Saving,"Owns a car, travels frequently"
Sunita,41,Salaried,$75k-$100k,2,Divorced,Child Education Fund,"Smoker, high stress job"
Sneha,31,Salaried,$15k-$30k,3,Divorced,Wealth Creation,"Frequent flyer, international travel"
Priya,56,Retired,$75k-$100k,2,Married w/ Kids,Wealth Creation,"Pet owner, active lifestyle"
Sunita,38,Salaried,$15k-$30k,5,Single,Health Coverage,Lives in joint family
Riya,33,Retired,$100k+,1,Divorced,Health Coverage,Prefers homeopathic treatment
Arjun,34,Salaried,$75k-$100k,5,Divorced,Tax Saving,Lives in joint family
Amit,39,Retired,$30k-$50k,4,Single,Tax Saving,"Health-conscious, gym member"
Sunita,44,Self-Employed,$50k-$75k,2,Widowed,Tax Saving,Works night shifts
Mrs. Iyer,40,Retired,$75k-$100k,4,Single,Wealth Creation,Lives in joint family
Rahul,62,Salaried,$75k-$100k,2,Married w/ Kids,Child Education Fund,"Smoker, high stress job"
Amit,50,Self-Employed,$30k-$50k,4,Divorced,Tax Saving,Works night shifts
Rahul,24,Business Owner,$50k-$75k,3,Divorced,Tax Saving,"Smoker, high stress job"
Amit,38,Salaried,$15k-$30k,3,Divorced,Wealth Creation,Prefers homeopathic treatment
Sunita,28,Salaried,$50k-$75k,1,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Ankit,33,Salaried,$30k-$50k,3,Divorced,Retirement Savings,"Health-conscious, gym member"
Arjun,52,Retired,$100k+,2,Divorced,Child Education Fund,"Frequent flyer, international travel"
Mrs. Iyer,58,Business Owner,$75k-$100k,4,Married w/ Kids,Wealth Creation,Prefers homeopathic treatment
Rahul,28,Self-Employed,$100k+,4,Married w/ Spouse,Wealth Creation,"Health-conscious, gym member"
Rahul,34,Salaried,$15k-$30k,5,Single,Health Coverage,"Owns property, no liabilities"
Priya,64,Salaried,$15k-$30k,2,Married w/ Kids,Wealth Creation,"Sedentary lifestyle, chronic illness"
Ankit,35,Salaried,$75k-$100k,5,Married w/ Kids,Retirement Savings,"Owns property, no liabilities"
Mrs. Iyer,26,Retired,$100k+,3,Divorced,Retirement Savings,"Owns a car, travels frequently"
Amit,62,Salaried,$50k-$75k,5,Single,Retirement Savings,Lives in joint family
Priya,45,Self-Employed,$15k-$30k,2,Married w/ Kids,Child Education Fund,"Owns property, no liabilities"
Sunita,56,Salaried,$75k-$100k,4,Divorced,Wealth Creation,Prefers homeopathic treatment
Sneha,54,Salaried,$30k-$50k,4,Married w/ Kids,Retirement Savings,"Owns property, no liabilities"
Amit,28,Retired,$15k-$30k,1,Married w/ Kids,Retirement Savings,"Frequent flyer, international travel"
Mr. Dutta,34,Retired,$100k+,5,Married w/ Spouse,Tax Saving,Lives in joint family
Sunita,31,Business Owner,$50k-$75k,5,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Riya,62,Retired,$15k-$30k,5,Married w/ Kids,Retirement Savings,Prefers homeopathic treatment
Ankit,27,Business Owner,$75k-$100k,2,Widowed,Retirement Savings,Prefers homeopathic treatment
Priya,61,Salaried,$30k-$50k,3,Single,Tax Saving,"Pet owner, active lifestyle"
Ankit,43,Business Owner,$30k-$50k,4,Single,Health Coverage,"Pet owner, active lifestyle"
Sneha,27,Business Owner,$75k-$100k,3,Married w/ Spouse,Retirement Savings,"Owns a car, travels frequently"
Sneha,63,Salaried,$100k+,1,Divorced,Health Coverage,"Owns property, no liabilities"
Ankit,28,Salaried,$30k-$50k,5,Married w/ Spouse,Health Coverage,"Owns a car, travels frequently"
Arjun,22,Business Owner,$15k-$30k,3,Married w/ Kids,Tax Saving,Prefers homeopathic treatment
Mrs. Iyer,36,Salaried,$75k-$100k,5,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Priya,61,Retired,$100k+,2,Married w/ Kids,Health Coverage,Works night shifts
Riya,41,Self-Employed,$100k+,5,Married w/ Kids,Retirement Savings,Works night shifts
Sunita,60,Retired,$30k-$50k,1,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Sneha,58,Self-Employed,$15k-$30k,3,Divorced,Wealth Creation,Lives in joint family
Sneha,61,Self-Employed,$30k-$50k,2,Married w/ Spouse,Retirement Savings,"Owns property, no liabilities"
Sneha,50,Retired,$15k-$30k,3,Married w/ Spouse,Health Coverage,Works night shifts
Rahul,35,Salaried,$15k-$30k,3,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Arjun,38,Retired,$30k-$50k,2,Widowed,Retirement Savings,"Health-conscious, gym member"
Amit,37,Self-Employed,$30k-$50k,5,Divorced,Child Education Fund,Lives in joint family
Amit,25,Business Owner,$30k-$50k,1,Widowed,Child Education Fund,"Sedentary lifestyle, chronic illness"
Ankit,29,Business Owner,$30k-$50k,4,Widowed,Tax Saving,"Owns a car, travels frequently"
Mrs. Iyer,62,Self-Employed,$15k-$30k,4,Widowed,Child Education Fund,Lives in joint family
Priya,47,Business Owner,$15k-$30k,2,Single,Retirement Savings,"Owns a car, travels frequently"
Riya,42,Retired,$30k-$50k,5,Married w/ Kids,Tax Saving,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,55,Retired,$75k-$100k,2,Married w/ Kids,Tax Saving,"Health-conscious, gym member"
Amit,39,Self-Employed,$50k-$75k,4,Married w/ Kids,Health Coverage,"Owns property, no liabilities"
Mr. Dutta,62,Retired,$50k-$75k,3,Widowed,Retirement Savings,"Frequent flyer, international travel"
Riya,24,Self-Employed,$30k-$50k,3,Married w/ Kids,Health Coverage,"Owns property, no liabilities"
Rahul,26,Salaried,$15k-$30k,1,Married w/ Kids,Health Coverage,Works night shifts
Ankit,56,Salaried,$30k-$50k,5,Married w/ Spouse,Retirement Savings,Works night shifts
Mr. Dutta,60,Business Owner,$15k-$30k,4,Widowed,Tax Saving,Prefers homeopathic treatment
Rahul,64,Retired,$75k-$100k,5,Divorced,Retirement Savings,"Owns property, no liabilities"
Amit,59,Retired,$30k-$50k,3,Single,Retirement Savings,"Smoker, high stress job"
Amit,27,Retired,$100k+,3,Single,Tax Saving,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,28,Business Owner,$100k+,3,Widowed,Tax Saving,"Health-conscious, gym member"
Rahul,38,Self-Employed,$75k-$100k,1,Married w/ Kids,Retirement Savings,Lives in joint family
Mrs. Iyer,53,Salaried,$75k-$100k,3,Married w/ Kids,Child Education Fund,Lives in joint family
Arjun,57,Business Owner,$100k+,2,Divorced,Wealth Creation,"Smoker, high stress job"
Sunita,36,Salaried,$15k-$30k,4,Divorced,Tax Saving,"Owns a car, travels frequently"
Sneha,36,Self-Employed,$15k-$30k,5,Married w/ Kids,Tax Saving,"Smoker, high stress job"
Arjun,54,Retired,$75k-$100k,5,Divorced,Wealth Creation,"Pet owner, active lifestyle"
Sneha,54,Self-Employed,$100k+,3,Married w/ Spouse,Wealth Creation,"Owns property, no liabilities"
Sunita,34,Retired,$75k-$100k,1,Married w/ Kids,Health Coverage,"Owns a car, travels frequently"
Ankit,39,Retired,$100k+,2,Married w/ Spouse,Tax Saving,"Sedentary lifestyle, chronic illness"
Sunita,39,Self-Employed,$50k-$75k,1,Widowed,Health Coverage,"Health-conscious, gym member"
Sneha,34,Retired,$30k-$50k,4,Divorced,Health Coverage,Lives in joint family
Priya,25,Retired,$30k-$50k,1,Divorced,Retirement Savings,"Smoker, high stress job"
Mr. Dutta,38,Salaried,$100k+,3,Divorced,Child Education Fund,"Owns a car, travels frequently"
Sunita,25,Self-Employed,$75k-$100k,3,Divorced,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,48,Self-Employed,$15k-$30k,5,Married w/ Spouse,Child Education Fund,Prefers homeopathic treatment
Rahul,23,Salaried,$50k-$75k,1,Married w/ Kids,Tax Saving,"Pet owner, active lifestyle"
Arjun,47,Retired,$100k+,1,Married w/ Spouse,Retirement Savings,"Frequent flyer, international travel"
Amit,33,Retired,$100k+,1,Divorced,Wealth Creation,Works night shifts
Riya,54,Salaried,$15k-$30k,4,Married w/ Spouse,Health Coverage,"Owns property, no liabilities"
Mr. Dutta,39,Retired,$50k-$75k,1,Widowed,Child Education Fund,Prefers homeopathic treatment
Riya,58,Business Owner,$30k-$50k,4,Widowed,Retirement Savings,"Owns a car, travels frequently"
Sneha,45,Business Owner,$75k-$100k,4,Married w/ Spouse,Retirement Savings,Lives in joint family
Riya,57,Business Owner,$50k-$75k,4,Single,Child Education Fund,"Pet owner, active lifestyle"
Amit,31,Self-Employed,$100k+,3,Divorced,Tax Saving,"Owns a car, travels frequently"
Sneha,34,Retired,$75k-$100k,2,Divorced,Health Coverage,"Owns a car, travels frequently"
Mrs. Iyer,38,Self-Employed,$50k-$75k,2,Divorced,Child Education Fund,Works night shifts
Ankit,46,Retired,$50k-$75k,5,Married w/ Kids,Health Coverage,"Pet owner, active lifestyle"
Ankit,39,Self-Employed,$15k-$30k,5,Widowed,Child Education Fund,"Owns a car, travels frequently"
Sunita,51,Salaried,$15k-$30k,2,Married w/ Kids,Retirement Savings,"Smoker, high stress job"
Mr. Dutta,26,Retired,$30k-$50k,1,Married w/ Spouse,Tax Saving,"Owns property, no liabilities"
Ankit,58,Retired,$75k-$100k,4,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Mr. Dutta,39,Business Owner,$50k-$75k,2,Widowed,Retirement Savings,"Frequent flyer, international travel"
Mrs. Iyer,54,Business Owner,$75k-$100k,4,Widowed,Tax Saving,"Frequent flyer, international travel"
Priya,57,Retired,$75k-$100k,5,Widowed,Retirement Savings,"Owns property, no liabilities"
Arjun,57,Business Owner,$30k-$50k,3,Divorced,Tax Saving,"Sedentary lifestyle, chronic illness"
Ankit,54,Business Owner,$50k-$75k,1,Married w/ Kids,Tax Saving,"Sedentary lifestyle, chronic illness"
Priya,25,Business Owner,$30k-$50k,2,Divorced,Retirement Savings,"Frequent flyer, international travel"
Ankit,41,Self-Employed,$30k-$50k,1,Widowed,Health Coverage,Lives in joint family
Mr. Dutta,60,Business Owner,$15k-$30k,5,Divorced,Health Coverage,"Smoker, high stress job"
Riya,29,Self-Employed,$100k+,3,Widowed,Retirement Savings,Prefers homeopathic treatment
Mr. Dutta,32,Retired,$15k-$30k,2,Married w/ Kids,Child Education Fund,"Frequent flyer, international travel"
Mrs. Iyer,51,Salaried,$30k-$50k,5,Single,Child Education Fund,"Pet owner, active lifestyle"
Mr. Dutta,43,Salaried,$100k+,2,Single,Child Education Fund,"Owns property, no liabilities"
Arjun,49,Salaried,$15k-$30k,4,Married w/ Kids,Tax Saving,"Pet owner, active lifestyle"
Riya,26,Business Owner,$75k-$100k,5,Married w/ Spouse,Wealth Creation,Lives in joint family
Mr. Dutta,47,Retired,$75k-$100k,5,Married w/ Spouse,Health Coverage,"Frequent flyer, international travel"
Ankit,34,Self-Employed,$15k-$30k,2,Widowed,Retirement Savings,Works night shifts
Sunita,23,Retired,$75k-$100k,4,Single,Tax Saving,Prefers homeopathic treatment
Mr. Dutta,56,Salaried,$50k-$75k,3,Divorced,Wealth Creation,"Owns a car, travels frequently"
Riya,26,Retired,$30k-$50k,3,Widowed,Health Coverage,"Pet owner, active lifestyle"
Mrs. Iyer,44,Self-Employed,$15k-$30k,4,Married w/ Spouse,Health Coverage,"Smoker, high stress job"
Sunita,49,Retired,$30k-$50k,1,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Arjun,64,Salaried,$100k+,3,Married w/ Spouse,Retirement Savings,"Smoker, high stress job"
Mrs. Iyer,54,Self-Employed,$30k-$50k,2,Divorced,Wealth Creation,"Health-conscious, gym member"
Amit,30,Salaried,$75k-$100k,4,Widowed,Retirement Savings,"Health-conscious, gym member"
Mr. Dutta,33,Business Owner,$15k-$30k,1,Married w/ Kids,Wealth Creation,"Owns property, no liabilities"
Rahul,55,Retired,$100k+,4,Divorced,Wealth Creation,"Owns a car, travels frequently"
Mr. Dutta,49,Retired,$15k-$30k,1,Single,Wealth Creation,"Health-conscious, gym member"
Ankit,23,Self-Employed,$75k-$100k,2,Married w/ Kids,Tax Saving,"Owns a car, travels frequently"
